parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 1 | POS | FRA | 0 | 21.95 | 21.95 | x=(10.22+11.73) | x 10.22 11.73 + = | x:dollar 10.22:dollar 11.73:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 1 | 21.95 | 21.95 | x=(10.22+11.73) | x 10.22 11.73 + = | x:dollar 10.22:dollar 11.73:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 21.95 | 1.51 | (10.22+x)=11.73 | 10.22 x + 11.73 = | 10.22:dollar x:dollar +:dollar 11.73:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 21.95 | 21.95 | (x-10.22)=11.73 | x 10.22 - 11.73 = | x:dollar 10.22:dollar -:dollar 11.73:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 21.95 | 1.51 | (x+10.22)=11.73 | x 10.22 + 11.73 = | x:dollar 10.22:dollar +:dollar 11.73:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 21.95 | 1.51 | 10.22=(11.73-x) | 10.22 11.73 x - = | 10.22:dollar 11.73:dollar x:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 21.95 | 21.95 | 10.22=(x-11.73) | 10.22 x 11.73 - = | 10.22:dollar x:dollar 11.73:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 21.95 | 1.51 | x=(11.73-10.22) | x 11.73 10.22 - = | x:dollar 11.73:dollar 10.22:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 21.95 | 1.51 | x=(11.73-10.22) | x 11.73 10.22 - = | x:dollar 11.73:dollar 10.22:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 21.95 | 1.51 | 11.73=(x+10.22) | 11.73 x 10.22 + = | 11.73:dollar x:dollar 10.22:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 21.95 | 21.95 | 11.73=(x-10.22) | 11.73 x 10.22 - = | 11.73:dollar x:dollar 10.22:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 21.95 | 1.51 | (11.73-x)=10.22 | 11.73 x - 10.22 = | 11.73:dollar x:dollar -:dollar 10.22:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 21.95 | 21.95 | (x-11.73)=10.22 | x 11.73 - 10.22 = | x:dollar 11.73:dollar -:dollar 10.22:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 21.95 | 1.51 | 11.73=(10.22+x) | 11.73 10.22 x + = | 11.73:dollar 10.22:dollar x:dollar +:dollar =:dollar
NET 14 non-negative solutions found out of 22 total solutions
